[2026-01-19 18:54:27] [INFO    ] discord.client: logging in using static token
[2026-01-19 18:54:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-01-19 18:54:28] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-01-19 18:54:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1462680887249469532', 'username': 'Sakuya Izayoi', 'avatar': 'ebd1a1d995918c950dc6320c154469d6', 'discriminator': '0689', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-01-19 18:54:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-01-19 18:54:28] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-01-19 18:54:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1462680887249469532', 'name': 'Sakuya Izayoi', 'icon': 'ebd1a1d995918c950dc6320c154469d6', 'description': '', 'type': None, 'bot': {'id': '1462680887249469532', 'username': 'Sakuya Izayoi', 'avatar': 'ebd1a1d995918c950dc6320c154469d6', 'discriminator': '0689', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '121d7efcdbe73b1886ed181f6a1e7d2b9a553d4b390bcefcb56f8ce55f79041a', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '825555921810882591', 'username': 'muyu0226', 'avatar': '0e92e3f67952e1b3fffb69f7d0824ea7', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 1030222, 'global_name': '木鱼', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#0fb84e', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-01-19 18:54:28] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-01-19 18:54:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-10t1",{"micros":0.0}]']}}
[2026-01-19 18:54:28] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-01-19 18:54:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-01-19 18:54:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Sakuya Izayoi', 'primary_guild': None, 'mfa_enabled': False, 'id': '1462680887249469532', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0689', 'clan': None, 'bot': True, 'avatar': 'ebd1a1d995918c950dc6320c154469d6'}, 'session_type': 'normal', 'session_id': '8072f66a42b0e7c4beb1776238cdfa50', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1462632241585979394'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['newark', 'us-east', 'us-central', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1462680887249469532', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-10t1",{"micros":115100,"calls":["id_created",{"micros":557,"calls":[]},"session_lookup_time",{"micros":3497,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-185",{"micros":110710,"calls":["start_session",{"micros":79542,"calls":["discord-api-rpc-ff9964b96-cwnrw",{"micros":43143,"calls":["get_user",{"micros":6317},"get_guilds",{"micros":2794},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":623},"apex_experiments",{"micros":28886},"user_activities",{"micros":6},"played_application_ids",{"micros":3},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":1},"regional_feature_config",{"micros":2}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":2995,"calls":[]},"guilds_started",{"micros":64,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":28046,"calls":[]},"connect_finished",{"micros":28061,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-01-19 18:54:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-19 18:54:28] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 8072f66a42b0e7c4beb1776238cdfa50).
[2026-01-19 18:54:28] [DEBUG   ] discord.client: Dispatching event connect
